Displayname,Alertname,TimeRaised,TimeStopped,TimePeriod,Time Of Day,Share,HourofDay,Day,Month
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,03/08/2017 05:03,03/08/2017 05:08,301, 05:08,10.03%,5,3,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,03/08/2017 06:58,03/08/2017 07:38,2401, 07:38,80.03%,6,3,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,03/08/2017 09:03,03/08/2017 09:23,1201, 09:23,40.03%,9,3,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,03/08/2017 11:13,03/08/2017 11:18,301, 11:18,10.03%,11,3,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,03/08/2017 15:03,03/08/2017 15:18,900, 15:18,30.00%,15,3,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,03/08/2017 19:33,03/08/2017 19:43,600, 19:43,20.00%,19,3,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,03/08/2017 21:08,03/08/2017 21:28,1200, 21:28,40.00%,21,3,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,03/08/2017 23:08,03/08/2017 23:23,901, 23:23,30.03%,23,3,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,04/08/2017 07:13,04/08/2017 07:18,300, 07:18,10.00%,7,4,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,04/08/2017 10:57,04/08/2017 11:07,601, 11:07,20.03%,10,4,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,04/08/2017 13:22,04/08/2017 13:32,601, 13:32,20.03%,13,4,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,04/08/2017 15:12,04/08/2017 15:32,1200, 15:32,40.00%,15,4,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,04/08/2017 19:27,04/08/2017 19:52,1501, 19:52,50.03%,19,4,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,04/08/2017 21:27,04/08/2017 21:47,1200, 21:47,40.00%,21,4,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,05/08/2017 00:42,05/08/2017 01:12,1800, 01:12,60.00%,0,5,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,05/08/2017 05:12,05/08/2017 05:27,900, 05:27,30.00%,5,5,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,05/08/2017 07:32,05/08/2017 07:47,900, 07:47,30.00%,7,5,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,05/08/2017 09:37,05/08/2017 09:42,300, 09:42,10.00%,9,5,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,05/08/2017 11:37,05/08/2017 11:47,600, 11:47,20.00%,11,5,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,05/08/2017 13:37,05/08/2017 13:47,600, 13:47,20.00%,13,5,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,05/08/2017 15:37,05/08/2017 15:52,900, 15:52,30.00%,15,5,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,05/08/2017 17:37,05/08/2017 18:07,1801, 18:07,60.03%,17,5,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,05/08/2017 19:42,05/08/2017 19:52,601, 19:52,20.03%,19,5,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,05/08/2017 21:42,05/08/2017 21:47,300, 21:47,10.00%,21,5,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,06/08/2017 01:27,06/08/2017 01:47,1201, 01:47,40.03%,1,6,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,06/08/2017 03:47,06/08/2017 03:52,301, 03:52,10.03%,3,6,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,06/08/2017 05:47,06/08/2017 05:57,601, 05:57,20.03%,5,6,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,06/08/2017 07:42,06/08/2017 07:52,601, 07:52,20.03%,7,6,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,06/08/2017 11:52,06/08/2017 12:12,1200, 12:12,40.00%,11,6,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,06/08/2017 13:52,06/08/2017 14:02,601, 14:02,20.03%,13,6,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,06/08/2017 15:57,06/08/2017 16:22,1501, 16:22,50.03%,15,6,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,06/08/2017 20:02,06/08/2017 20:12,600, 20:12,20.00%,20,6,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,06/08/2017 22:02,06/08/2017 22:22,1200, 22:22,40.00%,22,6,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,07/08/2017 09:07,07/08/2017 09:12,299, 09:12,9.97%,9,7,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,07/08/2017 12:52,07/08/2017 13:02,600, 13:02,20.00%,12,7,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,07/08/2017 14:12,07/08/2017 15:07,3300, 15:07,110.00%,14,7,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,07/08/2017 16:12,07/08/2017 23:27,26100, 23:27,870.00%,16,7,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,08/08/2017 00:22,08/08/2017 01:17,3301, 01:17,110.03%,0,8,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,08/08/2017 02:22,08/08/2017 03:07,2700, 03:07,90.00%,2,8,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,08/08/2017 03:47,08/08/2017 04:07,1201, 04:07,40.03%,3,8,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,08/08/2017 04:52,08/08/2017 05:07,901, 05:07,30.03%,4,8,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,08/08/2017 05:52,08/08/2017 06:57,3900, 06:57,130.00%,5,8,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,08/08/2017 10:27,08/08/2017 10:57,1801, 10:57,60.03%,10,8,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,08/08/2017 13:22,08/08/2017 13:27,300, 13:27,10.00%,13,8,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,08/08/2017 16:32,08/08/2017 16:52,1201, 16:52,40.03%,16,8,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,08/08/2017 18:32,08/08/2017 19:22,3001, 19:22,100.03%,18,8,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,08/08/2017 20:37,08/08/2017 21:22,2700, 21:22,90.00%,20,8,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,08/08/2017 22:37,08/08/2017 23:22,2700, 23:22,90.00%,22,8,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,09/08/2017 00:32,09/08/2017 00:57,1501, 00:57,50.03%,0,9,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,09/08/2017 02:42,09/08/2017 03:07,1501, 03:07,50.03%,2,9,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,09/08/2017 04:42,09/08/2017 05:12,1800, 05:12,60.00%,4,9,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,09/08/2017 06:42,09/08/2017 07:27,2701, 07:27,90.03%,6,9,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,09/08/2017 09:02,09/08/2017 09:07,301, 09:07,10.03%,9,9,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,09/08/2017 10:37,09/08/2017 11:07,1801, 11:07,60.03%,10,9,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,09/08/2017 12:47,09/08/2017 13:17,1801, 13:17,60.03%,12,9,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,09/08/2017 16:47,09/08/2017 23:22,23701, 23:22,790.03%,16,9,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,10/08/2017 00:57,10/08/2017 01:17,1201, 01:17,40.03%,0,10,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,10/08/2017 02:57,10/08/2017 03:07,601, 03:07,20.03%,2,10,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,10/08/2017 04:57,10/08/2017 05:07,601, 05:07,20.03%,4,10,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,10/08/2017 07:02,10/08/2017 07:17,899, 07:17,29.97%,7,10,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,10/08/2017 08:37,10/08/2017 08:57,1199, 08:57,39.97%,8,10,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,10/08/2017 17:07,10/08/2017 17:22,900, 17:22,30.00%,17,10,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,10/08/2017 19:07,10/08/2017 19:37,1800, 19:37,60.00%,19,10,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,10/08/2017 21:12,10/08/2017 21:42,1800, 21:42,60.00%,21,10,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,10/08/2017 23:12,10/08/2017 23:22,601, 23:22,20.03%,23,10,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,11/08/2017 01:12,11/08/2017 01:17,301, 01:17,10.03%,1,11,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,11/08/2017 06:52,11/08/2017 07:22,1802, 07:22,60.07%,6,11,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,11/08/2017 12:42,11/08/2017 13:22,2401, 13:22,80.03%,12,11,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,11/08/2017 15:22,11/08/2017 15:27,299, 15:27,9.97%,15,11,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,11/08/2017 17:22,11/08/2017 18:12,2999, 18:12,99.97%,17,11,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,11/08/2017 19:22,11/08/2017 20:12,2999, 20:12,99.97%,19,11,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,11/08/2017 21:27,11/08/2017 22:17,3001, 22:17,100.03%,21,11,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,12/08/2017 02:42,12/08/2017 02:52,601, 02:52,20.03%,2,12,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,12/08/2017 07:32,12/08/2017 08:22,3000, 08:22,100.00%,7,12,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,12/08/2017 09:32,12/08/2017 10:12,2401, 10:12,80.03%,9,12,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,12/08/2017 11:37,12/08/2017 12:22,2701, 12:22,90.03%,11,12,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,12/08/2017 13:37,12/08/2017 14:27,3000, 14:27,100.00%,13,12,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,12/08/2017 15:37,12/08/2017 15:52,900, 15:52,30.00%,15,12,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,12/08/2017 17:37,12/08/2017 18:02,1501, 18:02,50.03%,17,12,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,12/08/2017 19:37,12/08/2017 20:07,1801, 20:07,60.03%,19,12,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,12/08/2017 21:42,12/08/2017 22:27,2701, 22:27,90.03%,21,12,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,13/08/2017 01:27,13/08/2017 01:57,1801, 01:57,60.03%,1,13,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,13/08/2017 03:47,13/08/2017 04:07,1202, 04:07,40.07%,3,13,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,13/08/2017 05:47,13/08/2017 06:12,1501, 06:12,50.03%,5,13,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,13/08/2017 07:47,13/08/2017 08:37,3001, 08:37,100.03%,7,13,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,13/08/2017 09:47,13/08/2017 10:37,3001, 10:37,100.03%,9,13,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,13/08/2017 11:47,13/08/2017 12:12,1501, 12:12,50.03%,11,13,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,13/08/2017 13:52,13/08/2017 14:37,2701, 14:37,90.03%,13,13,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,13/08/2017 15:52,13/08/2017 16:37,2701, 16:37,90.03%,15,13,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,13/08/2017 17:57,13/08/2017 18:42,2701, 18:42,90.03%,17,13,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,13/08/2017 19:57,13/08/2017 20:32,2101, 20:32,70.03%,19,13,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,13/08/2017 21:57,13/08/2017 22:47,3000, 22:47,100.00%,21,13,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,14/08/2017 04:02,14/08/2017 04:07,303, 04:07,10.10%,4,14,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,14/08/2017 06:02,14/08/2017 06:32,1801, 06:32,60.03%,6,14,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,14/08/2017 14:42,14/08/2017 14:52,601, 14:52,20.03%,14,14,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,14/08/2017 15:57,14/08/2017 23:22,26701, 23:22,890.03%,15,14,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,15/08/2017 00:17,15/08/2017 00:52,2100, 00:52,70.00%,0,15,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,15/08/2017 02:22,15/08/2017 02:52,1802, 02:52,60.07%,2,15,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,15/08/2017 06:17,15/08/2017 06:32,901, 06:32,30.03%,6,15,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,15/08/2017 10:17,15/08/2017 10:32,901, 10:32,30.03%,10,15,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,15/08/2017 12:27,15/08/2017 12:52,1502, 12:52,50.07%,12,15,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,15/08/2017 13:52,15/08/2017 14:22,1801, 14:22,60.03%,13,15,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,15/08/2017 16:22,15/08/2017 16:52,1801, 16:52,60.03%,16,15,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,15/08/2017 18:32,15/08/2017 19:12,2401, 19:12,80.03%,18,15,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,15/08/2017 20:32,15/08/2017 21:12,2402, 21:12,80.07%,20,15,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,15/08/2017 22:32,15/08/2017 23:22,3002, 23:22,100.07%,22,15,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,16/08/2017 00:37,16/08/2017 01:17,2401, 01:17,80.03%,0,16,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,16/08/2017 02:37,16/08/2017 03:15,2257, 03:15,75.23%,2,16,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,16/08/2017 04:37,16/08/2017 05:02,1502, 05:02,50.07%,4,16,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,16/08/2017 06:37,16/08/2017 07:07,1802, 07:07,60.07%,6,16,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,16/08/2017 10:27,16/08/2017 11:07,2401, 11:07,80.03%,10,16,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,16/08/2017 12:37,16/08/2017 13:27,3000, 13:27,100.00%,12,16,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,16/08/2017 14:42,16/08/2017 15:12,1801, 15:12,60.03%,14,16,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,16/08/2017 16:47,16/08/2017 17:17,1800, 17:17,60.00%,16,16,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,16/08/2017 18:32,17/08/2017 00:27,21301, 00:27,710.03%,18,17,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,17/08/2017 00:57,17/08/2017 01:22,1502, 01:22,50.07%,0,17,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,17/08/2017 02:57,17/08/2017 03:07,601, 03:07,20.03%,2,17,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,17/08/2017 06:57,17/08/2017 07:17,1201, 07:17,40.03%,6,17,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,17/08/2017 08:47,17/08/2017 09:07,1202, 09:07,40.07%,8,17,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,17/08/2017 12:37,17/08/2017 13:07,1801, 13:07,60.03%,12,17,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,17/08/2017 14:57,17/08/2017 15:02,301, 15:02,10.03%,14,17,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,17/08/2017 17:02,17/08/2017 17:07,302, 17:07,10.07%,17,17,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,17/08/2017 19:07,17/08/2017 19:42,2102, 19:42,70.07%,19,17,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,17/08/2017 21:07,17/08/2017 21:47,2400, 21:47,80.00%,21,17,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,17/08/2017 23:07,17/08/2017 23:22,901, 23:22,30.03%,23,17,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,18/08/2017 01:12,18/08/2017 01:17,301, 01:17,10.03%,1,18,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,18/08/2017 03:52,18/08/2017 03:57,301, 03:57,10.03%,3,18,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,18/08/2017 07:17,18/08/2017 07:42,1501, 07:42,50.03%,7,18,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,18/08/2017 08:52,18/08/2017 09:17,1501, 09:17,50.03%,8,18,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,18/08/2017 11:12,18/08/2017 11:27,900, 11:27,30.00%,11,18,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,18/08/2017 13:12,18/08/2017 13:42,1801, 13:42,60.03%,13,18,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,18/08/2017 15:17,18/08/2017 15:42,1500, 15:42,50.00%,15,18,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,18/08/2017 17:17,18/08/2017 18:07,3002, 18:07,100.07%,17,18,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,18/08/2017 19:22,18/08/2017 20:12,3001, 20:12,100.03%,19,18,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,18/08/2017 21:27,18/08/2017 22:12,2701, 22:12,90.03%,21,18,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,19/08/2017 05:37,19/08/2017 06:12,2100, 06:12,70.00%,5,19,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,19/08/2017 07:37,19/08/2017 08:02,1499, 08:02,49.97%,7,19,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,19/08/2017 09:37,19/08/2017 10:17,2401, 10:17,80.03%,9,19,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,19/08/2017 11:42,19/08/2017 12:22,2402, 12:22,80.07%,11,19,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,19/08/2017 13:42,19/08/2017 14:02,1201, 14:02,40.03%,13,19,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,19/08/2017 15:42,19/08/2017 16:02,1201, 16:02,40.03%,15,19,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,19/08/2017 17:47,19/08/2017 18:32,2701, 18:32,90.03%,17,19,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,19/08/2017 19:47,19/08/2017 20:37,3000, 20:37,100.00%,19,19,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,19/08/2017 21:47,19/08/2017 22:37,3001, 22:37,100.03%,21,19,Jul
